"year","AR"
7872,0.484705882352941
7873,0.0254041570438799
7874,0.0438799076212471
7875,0.022883295194508
7876,0.0270880361173815
7877,0.0403587443946188
7878,0.0335570469798658
7879,0.0709534368070953
7880,0.0596026490066225
7881,0.0395604395604396
7882,0.037037037037037
7883,0.0412147505422994
7884,0.0259179265658747
7885,0.0405117270788913
7886,0.0336842105263158
7887,0.0189075630252101
7888,0.0292275574112735
7889,0.0580912863070539
7890,0.104938271604938
7891,0.0203665987780041
7892,0.0383838383838384
7893,0.032
7894,0.0358565737051793
7895,0.0475247524752475
7896,0.0137254901960784
7897,0.0389105058365759
7898,0.0501930501930502
7899,0.0287907869481766
7900,0.0209923664122137
7901,0.0601503759398496
7902,0.11214953271028
7903,0.0166358595194085
7904,0.0570902394106814
7905,0.0366300366300366
7906,0.0400728597449909
7907,0.0504504504504504
7908,0.021505376344086
7909,0.0317460317460317
7910,0.0264084507042254
7911,0.0208695652173913
7912,0.0484429065743945
7913,0.032590051457976
7914,0.0204778156996587
7915,0.00851788756388416
7916,0.0338983050847458
7917,0.0486577181208054
7918,0.0267111853088481
7919,0.0462809917355372
7920,0.0131795716639209
7921,0.0163398692810458
7922,0.032520325203252
7923,0.0323101777059774
7924,0.043338683788122
7925,0.0303030303030303
7926,0.0253164556962025
7927,0.0267295597484277
7928,0.05625
7929,0.0461538461538462
7930,0.0535987748851455
7931,0.0213414634146341
7932,0.0331825037707391
7933,0.0512048192771084
7934,0.0345345345345345
7935,0.0254491017964072
7936,0.0163447251114413
7937,0.0148367952522255
7938,0.0221565731166913
7939,0.0278592375366569
7940,0.0145772594752187
7941,0.0361271676300578
7942,0.0945558739255014
7943,0.0256410256410256
7944,0.0384068278805121
7945,0.046742209631728
7946,0.0239099859353024
7947,0.0196353436185133
7948,0.0181058495821727
7949,0.0277392510402219
7950,0.0248618784530387
7951,0.0303030303030303
7952,0.0342935528120713
7953,0.0314207650273224
7954,0.0121951219512195
7955,0.0337381916329285
7956,0.0268456375838926
7957,0.0227272727272727
7958,0.0372340425531915
7959,0.0437086092715232
7960,0.0408432147562582
7961,0.0196592398427261
7962,0.0456919060052219
7963,0.109090909090909
7964,0.0518134715025907
7965,0.0270618556701031
7966,0.0204865556978233
7967,0.0101651842439644
7968,0.0506970849176172
7969,0.0240202275600506
7970,0.0313676286072773
7971,0.0324189526184539
7972,0.0148883374689826
7973,0.0283950617283951
7974,0.04920049200492
7975,0.02937576499388
7976,0.0657734470158343
7977,0.026634382566586
7978,0.02291917973462
7979,0.0444711538461538
7980,0.0369047619047619
7981,0.0272835112692764
7982,0.0552941176470588
7983,0.0269005847953216
7984,0.0442374854481956
7985,0.0219907407407407
7986,0.0277136258660508
7987,0.0379746835443038
7988,0.0575373993095512
7989,0.0159817351598174
7990,0.0307167235494881
7991,0.0396825396825397
7992,0.0406779661016949
7993,0.0280583613916947
7994,0.0369127516778524
7995,0.0345596432552954
7996,0.0188679245283019
7997,0.0443458980044346
7998,0.10485651214128
7999,0.0242290748898678
8000,0.0351262349066959
8001,0.0718954248366013
8002,0.0140388768898488
8003,0.0516684607104413
8004,0.0193340494092374
8005,0.132196162046908
8006,0.025369978858351
8007,0.0272822665267576
8008,0.0334378265412748
8009,0.0219206680584551
8010,0.0487551867219917
8011,0.0289855072463768
8012,0.0486039296794209
8013,0.0557275541795666
8014,0.0472279260780287
8015,0.0295918367346939
8016,0.0274111675126904
8017,0.0131445904954499
8018,0.0211480362537764
8019,0.045045045045045
8020,0.079
8021,0.036
8022,0.023
8023,0.089
8024,0.013
8025,0.022
8026,0.041
8027,0.031
8028,0.02
8029,0.041
8030,0.031
8031,0.031
8032,0.046
8033,0.022
8034,0.075
8035,0.113
8036,0.054
8037,0.018
8038,0.047
8039,0.042
8040,0.046
8041,0.027
8042,0.024
8043,0.039
8044,0.03
8045,0.044
8046,0.03
8047,0.05
8048,0.021
8049,0.058
8050,0.049
8051,0.051
8052,0.045
8053,0.026
8054,0.036
8055,0.023
8056,0.041
8057,0.042
8058,0.028
8059,0.039
8060,0.024
